date,SP500,NYSE,NASDAQ,b30ret,b20ret,b10ret,b7ret,b5ret,b2ret,b1ret,t90ret,t30ret,cpiret
2007-05-01,0.032030723851896425,0.03579924825304737,0.030971664226304263,-0.025944,-0.020529,-0.014483,-0.013946,-0.011059,-0.001889,0.002538,0.004487,0.004046,0.006111
2007-06-01,-0.01797694386967663,-0.010641036384715363,-0.0004954304983479929,-0.013263,-0.008926,-0.006804,-0.001106,0.000799,0.004189,0.004246,0.003801,0.003918,0.001938
2007-07-01,-0.03250447118036437,-0.03279348917682512,-0.022123423304514667,0.039013,0.030381,0.023884,0.021695,0.018827,0.010287,0.006321,0.004037,0.003962,-0.000254
2007-08-01,0.01278153901893031,0.004436266792939847,0.019480954599005784,0.014998,0.017484,0.01713,0.022029,0.017403,0.010008,0.007002,0.005694,0.004205,-0.001834
2007-09-01,0.035168290262790336,0.04505691128919587,0.03969666881614664,0.00233,0.001447,-0.00044,0.002781,0.004294,0.006878,0.005447,0.003905,0.003347,0.002756
2007-10-01,0.014713560940171178,0.026765053218600343,0.05670675186235563,0.018432,0.01578,0.013082,0.009846,0.007296,0.004278,0.003567,0.003145,0.003212,0.002139
2007-11-01,-0.045042782630903666,-0.04510387367416335,-0.07182698090449868,0.062646,0.048778,0.044192,0.039726,0.037483,0.020658,0.011388,0.004658,0.003395,0.00594
2007-12-01,-0.008665949670829676,-0.011892601918527035,-0.0032672867697369767,-0.00874,-0.006067,-0.003627,0.001302,0.000672,0.001824,0.001147,0.002879,0.002921,-0.000671
2008-01-01,-0.06311386420630871,-0.06512897160947873,-0.10418482671924245,0.025452,0.025689,0.038355,0.036982,0.033951,0.020304,0.013061,0.005008,0.00243,0.004971
2008-02-01,-0.035379739592448445,-0.018100293280980395,-0.050803238945338336,-0.00759,0.000404,0.009265,0.014976,0.014841,0.009926,0.005399,0.001676,0.001325,0.002904
2008-03-01,-0.0059774528264187055,-0.018601014565620133,0.003349078218227497,0.022067,0.012042,0.011256,0.017594,0.004523,0.003037,0.002887,0.00243,0.001869,0.008668
2008-04-01,0.04645095190758575,0.055527622525781695,0.05700724802487045,-0.025128,-0.018873,-0.016442,-0.029068,-0.023902,-0.012268,-0.002938,0.001126,0.001025,0.006065
2008-05-01,0.010617614807393316,0.010853238126390607,0.044525946462766974,-0.036625,-0.029605,-0.018756,-0.018669,-0.015239,-0.005992,-0.001104,0.000221,0.000946,0.008421
2008-06-01,-0.08988355391782221,-0.08205438218821115,-0.09546159240949859,0.036209,0.023758,0.010754,0.014134,0.007218,0.003551,0.001278,0.001831,0.00175,0.010077
2008-07-01,-0.009908296633773794,-0.025949085893181234,0.01410431807789081,-0.00412,-0.000827,0.005155,0.009349,0.007249,0.00523,0.003177,0.00172,0.00144,0.005251
2008-08-01,0.012116759351493478,-0.006725013482711262,0.01788641082197362,0.0285,0.023764,0.015313,0.012839,0.008864,0.004534,0.002366,0.001413,0.001282,-0.003992
2008-09-01,-0.09518076507694317,-0.10682931032383358,-0.12377987486116115,0.0221,0.007784,0.000875,0.003465,0.009371,0.010026,0.005113,0.002546,0.00153,-0.001383
2008-10-01,-0.1856364738868823,-0.2173771666009685,-0.19518669160224178,-0.006968,-0.036296,-0.028592,-0.007144,0.010844,0.012592,0.005218,0.001208,0.000792,-0.010101
2008-11-01,-0.07779835731330564,-0.07924807106816267,-0.11397482292012029,0.172202,0.144461,0.085378,0.081895,0.045233,0.012121,0.00717,0.001024,0.000228,-0.019153
2008-12-01,0.007791146673498339,0.02778360176283634,0.026641737201243743,0.146556,0.091421,0.056872,0.036706,0.023094,0.006517,0.00389,6.3e-05,2.9e-05,-0.010342
2009-01-01,-0.08954987959881677,-0.10257646700386225,-0.06592308152837045,-0.147382,-0.105931,-0.044454,-0.029484,-0.016891,-0.004086,-0.001545,-3.8e-05,2.3e-05,0.004352
2009-02-01,-0.11645651319919015,-0.11809709510868771,-0.06910323757246761,-0.016446,-0.004178,-0.00192,-0.011374,-0.005036,-0.000711,-0.001389,0.00028,0.000147,0.004973
2009-03-01,0.08195269356125578,0.07547345216173262,0.10382868877254481,0.035141,0.057347,0.03291,0.032325,0.018826,0.005159,0.001434,0.000351,0.000159,0.002432
2009-04-01,0.08977221824359916,0.10194916601901127,0.11640759892957586,-0.084469,-0.061338,-0.035782,-0.024371,-0.01675,-0.001117,0.001908,0.000359,0.000125,0.002496
2009-05-01,0.05172057715517475,0.08526333044291512,0.0326695436728528,-0.045676,-0.025809,-0.016442,-0.019651,-0.013248,0.000831,0.000361,0.000118,1.7e-05,0.002889
2009-06-01,0.0001958080939532536,-0.01661270832955708,0.03364343880746734,0.004932,0.006795,0.002851,-0.005474,-0.00725,-0.002294,0.000567,0.000108,7.5e-05,0.00859
2009-07-01,0.07152194934301459,0.08425969381181808,0.07527268092226524,0.008809,0.007232,0.008263,0.008512,0.006035,0.00192,0.001105,0.000196,0.000119,-0.001586
2009-08-01,0.033009336342854745,0.033515302763458266,0.01532799831302345,0.024428,0.020938,0.010147,0.010546,0.009517,0.004433,0.001488,0.000241,0.000116,0.002243
2009-09-01,0.035100067367746846,0.03949713281231659,0.05488993012561494,0.024697,0.016535,0.010322,0.010792,0.006463,0.002416,0.000799,0.00025,7.9e-05,0.000625
2009-10-01,-0.019959880197119695,-0.025118616177188358,-0.0371053396654446,-0.024902,-0.01416,-0.003575,0.002101,0.003621,0.002946,-2.1e-05,0.000195,4e-05,0.000963
2009-11-01,0.0557790765867372,0.051039780866906526,0.04750152972325239,0.00707,0.01841,0.018977,0.02212,0.018421,0.006743,0.001892,0.000104,4e-06,0.000708
2009-12-01,0.017614520350299756,0.01297181785693624,0.05645216865416636,-0.065857,-0.054419,-0.037937,-0.038514,-0.027479,-0.00697,-0.001166,6.6e-05,6.2e-05,-0.001761
2010-01-01,-0.03767512371219439,-0.04282205846037712,-0.05517069974088251,0.027458,0.029431,0.020794,0.023747,0.018564,0.008927,0.003246,6.2e-05,2.8e-05,0.003417
2010-02-01,0.028114739741840644,0.02173549349456394,0.041464213408283435,-0.007625,-0.002964,0.002013,0.003708,0.004494,0.001837,-0.000473,1.5e-05,1e-05,0.000249
2010-03-01,0.05713281541639237,0.05701527858444955,0.0689195769478177,-0.020685,-0.013103,-0.014015,-0.00993,-0.007662,-0.001592,-0.000869,4.2e-05,6.8e-05,0.004106
2010-04-01,0.014651373006918433,0.003565174887546263,0.02602658940101854,0.035545,0.029069,0.016503,0.013512,0.009075,0.002381,0.000162,0.000129,0.000111,0.001737
2010-05-01,-0.08553157288349045,-0.09580172408475818,-0.08659071138420416,0.053633,0.040848,0.025297,0.025802,0.015079,0.005645,0.000695,0.000129,0.000112,0.000775
